,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode
9175,2010,11,4,UPS,UPS AIRLINES,B-757-200,KMEM,MEMPHIS INTL,TN,LANDING ROLL,DAWN,0.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-04,299,Memphis International Airport,341.0,Memphis,"-89.97669982910156, 35.04240036010742",-89.97669982910156, 35.04240036010742,38116
12345,2010,11,4,HAL,HAWAIIAN AIR,B-767-300,NSTU,PAGO PAGO INTL,PI,CLIMB,NIGHT,20.0,180.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-11-04,12,Pago Pago International Airport,32.0,Pago Pago,"-170.710006714, -14.3310003281",-170.710006714, -14.3310003281,96799
3964,2010,11,4,SWA,SOUTHWEST AIRLINES,B-737-300,KDAL,DALLAS LOVE FIELD ARPT,TX,CLIMB,NIGHT,900.0,145.0,1.0,ZT1,BLACKBIRD,1,NONE,2010-11-04,171,Dallas Love Field,487.0,Dallas,"-96.851799, 32.847099",-96.851799, 32.847099,75235
12357,2010,11,4,UPS,UPS AIRLINES,A-300,KFSD,JOE FOSS FIELD ARPT,SD,APPROACH,NIGHT,30.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-04,28,Joe Foss Field Airport,1429.0,Sioux Falls,"-96.741897583, 43.582000732400004",-96.741897583, 43.582000732400004,57104
12385,2010,11,4,BUS,BUSINESS,C-172,KRNV,CLEVELAND MUNICIPAL ARPT,MS,APPROACH,NIGHT,800.0,65.0,2.0,UNKBM,UNKNOWN MEDIUM BIRD,2-10,PRECAUTIONARY LANDING,2010-11-04,3,Cleveland Municipal Airport,139.0,Cleveland,"-90.75789642, 33.76110077",-90.75789642, 33.76110077,38732
7795,2010,11,4,BUS,BUSINESS,LEARJET-45,KTPA,TAMPA INTL,FL,CLIMB,DAY,10.0,125.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE,2010-11-04,86,Tampa International Airport,26.0,Tampa,"-82.533203125, 27.975500106811523",-82.533203125, 27.975500106811523,33607
242,2010,11,4,SKW,SKYWEST AIRLINES,CRJ100/200,KSLC,SALT LAKE CITY INTL,UT,CLIMB,NIGHT,7000.0,200.0,5.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-11-04,123,Salt Lake City International Airport,4227.0,Salt Lake City,"-111.97799682617188, 40.78839874267578",-111.97799682617188, 40.78839874267578,84116
4685,2010,11,5,AWE,US AIRWAYS,B-737-400,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,LANDING ROLL,DAY,0.0,140.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE,2010-11-05,133,Charlotte Douglas International Airport,748.0,Charlotte,"-80.94309997558594, 35.2140007019043",-80.94309997558594, 35.2140007019043,28208
8345,2010,11,5,CHQ,CHAUTAUQUA AIRLINES,EMB-145,KPHL,PHILADELPHIA INTL,PA,DESCENT,NIGHT,4000.0,245.0,15.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-05,375,Philadelphia International Airport,36.0,Philadelphia,"-75.24109649658203, 39.87189865112305",-75.24109649658203, 39.87189865112305,19113
9743,2010,11,5,UAL,UNITED AIRLINES,A-319,KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,MN,APPROACH,DAY,200.0,160.0,3.0,Z6007,AMERICAN ROBIN,1,NONE,2010-11-05,131,Minneapolis-St Paul International/Wold-Chamberlain Airport,841.0,Minneapolis,"-93.221802, 44.882",-93.221802, 44.882,55450
1466,2010,11,5,JBU,JETBLUE AIRWAYS,A-320,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,FL,CLIMB,DAY,100.0,148.0,0.0,K5114,AMERICAN KESTREL,1,NONE,2010-11-05,165,Fort Lauderdale Hollywood International Airport,9.0,Fort Lauderdale,"-80.152702, 26.072599",-80.152702, 26.072599,33315
12388,2010,11,5,PVT,PRIVATELY OWNED,C-180,KFHR,FRIDAY HARBOR ARPT,WA,TAKEOFF RUN,DAY,0.0,50.0,0.0,NE1,GULL,1,ABORTED TAKEOFF,2010-11-05,3,Friday Harbor Airport,113.0,Friday Harbor,"-123.024002075, 48.5219993591",-123.024002075, 48.5219993591,98250
8694,2010,11,5,JBU,JETBLUE AIRWAYS,EMB-190,KROC,GREATER ROCHESTER INTL,NY,APPROACH,DAY,10.0,130.0,0.0,NE1,GULL,1,NONE,2010-11-05,19,Greater Rochester International Airport,559.0,Rochester,"-77.67240142822266, 43.118900299072266",-77.67240142822266, 43.118900299072266,14624
11700,2010,11,5,UPS,UPS AIRLINES,A-300,KCAE,COLUMBIA METRO,SC,APPROACH,NIGHT,100.0,128.0,0.5,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-05,18,Columbia Metropolitan Airport,236.0,Columbia,"-81.11949920654297, 33.93880081176758",-81.11949920654297, 33.93880081176758,29170
4686,2010,11,5,RPA,REPUBLIC AIRLINES,EMB-170,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,NC,LANDING ROLL,DAY,0.0,120.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-05,133,Charlotte Douglas International Airport,748.0,Charlotte,"-80.94309997558594, 35.2140007019043",-80.94309997558594, 35.2140007019043,28208
