Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
2011,8,11,TRS,AIRTRAN AIRWAYS,B-717-200,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AL,APPROACH,DAY,1000.0,150.0,3.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,11,BUS,BUSINESS,CIRRUS SR 20/22,KSFB,ORLANDO SANFORD INTL ARPT,FL,LANDING ROLL,DAY,0.0,70.0,0.0,YI,SWALLOW,1,NONE
2011,8,11,AAY,ALLEGIANT AIR,MD-83,KSFB,ORLANDO SANFORD INTL ARPT,FL,LANDING ROLL,DAY,0.0,100.0,0.0,YI,SWALLOW,1,NONE
2011,8,11,EGF,AMERICAN EAGLE AIRLINES,EMB-145,KPIT,PITTSBURGH INTL ARPT,PA,CLIMB,DAY,10.0,135.0,0.0,O2205,MOURNING DOVE,1,NONE
2011,8,11,HAL,HAWAIIAN AIR,B-717-200,PHNL,HONOLULU INTL ARPT,HI,TAKEOFF RUN,DUSK,0.0,140.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE
2011,8,11,JBU,JETBLUE AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,APPROACH,DAY,500.0,150.0,1.0,NE1,GULL,1,NONE
2011,8,11,SWA,SOUTHWEST AIRLINES,B-737-700,KSAT,SAN ANTONIO INTL,TX,LANDING ROLL,NIGHT,0.0,150.0,0.0,O2205,MOURNING DOVE,1,NONE
2011,8,11,XOJ,XOJET,CITATION X,KGON,GROTON-NEW LONDON AR,CT,LANDING ROLL,DAY,0.0,90.0,0.0,YI010,TREE SWALLOW,2-10,NONE
2011,8,11,ASA,ALASKA AIRLINES,B-737-800,KSMF,SACRAMENTO INTL,CA,CLIMB,NIGHT,50.0,150.0,0.0,R2203,GREAT HORNED OWL,1,PRECAUTIONARY LANDING
2011,8,11,EGF,AMERICAN EAGLE AIRLINES,EMB-145,KMLI,QUAD CITY ARPT,IL,TAKEOFF RUN,DAY,0.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE
2011,8,11,AWI,AIR WISCONSIN AIRLINES,CRJ100/200,KILM,WILMINGTON INTL,NC,TAKEOFF RUN,DAY,0.0,135.0,0.0,YL001,EUROPEAN STARLING,1,NONE
2011,8,11,EXK,EXECUTIVE AIRLINES,ATR-72,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,LANDING ROLL,DAY,0.0,127.0,0.0,K3302,RED-TAILED HAWK,1,NONE
2011,8,11,TOM,THOMSONFLY,B-767-300,KSFB,ORLANDO SANFORD INTL ARPT,FL,TAKEOFF RUN,DAY,0.0,130.0,0.0,YI,SWALLOW,2-10,NONE
2011,8,11,FFT,FRONTIER AIRLINES,A-320,KDEN,DENVER INTL AIRPORT,CO,TAKEOFF RUN,DAY,0.0,155.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,11,SWA,SOUTHWEST AIRLINES,B-737-700,KISP,LONG ISLAND MAC ARTHUR,NY,LANDING ROLL,DAY,0.0,134.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,11,UPS,UPS AIRLINES,A-300,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,APPROACH,NIGHT,8400.0,245.0,33.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,11,UPS,UPS AIRLINES,B-767-300,KSDF,LOUISVILLE INTL ARPT-STANDIFORD FIELD,KY,APPROACH,NIGHT,1900.0,194.0,5.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,11,XOJ,XOJET,CITATION X,KGON,GROTON-NEW LONDON AR,CT,APPROACH,DAY,5.0,80.0,0.0,YI010,TREE SWALLOW,2-10,NONE
2011,8,11,1ASQ,ATLANTIC SOUTHEAST,CRJ700,KMDT,HARRISBURG INTL,PA,TAKEOFF RUN,DAY,0.0,100.0,0.0,YI,SWALLOW,2-10,NONE
2011,8,11,BUS,BUSINESS,BE-1900,KGON,GROTON-NEW LONDON AR,CT,CLIMB,DAWN,5.0,60.0,0.0,YI010,TREE SWALLOW,1,NONE
2011,8,11,GJS,GOJET AIRLINES,CRJ700,KAUS,AUSTIN-BERGSTROM INTL,TX,APPROACH,DAY,50.0,100.0,0.0,Y9005,SCISSOR-TAILED FLYCATCHER,1,NONE
2011,8,12,AAL,AMERICAN AIRLINES,B-757-200,KORD,CHICAGO O'HARE INTL ARPT,IL,CLIMB,NIGHT,10.0,125.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,12,UAL,UNITED AIRLINES,B-767-300,KSFO,SAN FRANCISCO INTL ARPT,CA,LANDING ROLL,DAY,0.0,100.0,0.0,K33,HAWK,1,NONE
2011,8,12,SWA,SOUTHWEST AIRLINES,B-737-700,KHOU,WILLIAM P HOBBY ARPT,TX,APPROACH,DAY,50.0,130.0,0.0,YI005,BARN SWALLOW,1,NONE
2011,8,12,BUS,BUSINESS,C-550,KLBF,NORTH PLATTE REGNL ARPT LEE BIRD FIELD,NE,TAKEOFF RUN,DAY,0.0,105.0,0.0,YI,SWALLOW,1,NONE
2011,8,12,AAL,AMERICAN AIRLINES,MD-83,KAUS,AUSTIN-BERGSTROM INTL,TX,CLIMB,DAY,2500.0,300.0,4.0,K1001,BLACK VULTURE,2-10,PRECAUTIONARY LANDING
2011,8,12,AAH,ALOHA AIR CARGO,B-737-200,PHNL,HONOLULU INTL ARPT,HI,TAKEOFF RUN,NIGHT,0.0,100.0,0.0,R1101,BARN OWL,1,ABORTED TAKEOFF
2011,8,12,FLG*,PINNACLE,CRJ100/200,KALB,ALBANY INTL,NY,TAKEOFF RUN,DUSK,0.0,100.0,0.0,YI005,BARN SWALLOW,1,NONE
2011,8,12,MKU,ISLAND AIR,DHC8 DASH 8,PHMK,MOLOKAI ARPT,HI,LANDING ROLL,DAY,0.0,60.0,0.0,YL101,COMMON MYNA,2-10,NONE
2011,8,12,AWI,AIR WISCONSIN AIRLINES,CRJ100/200,KPHL,PHILADELPHIA INTL,PA,APPROACH,DAWN,50.0,130.0,0.0,YL001,EUROPEAN STARLING,2-10,NONE
2011,8,12,BUS,BUSINESS,BE-400 BJET,KGSH,GOSHEN MUNICIPAL ARPT,IN,TAKEOFF RUN,DAY,0.0,120.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,12,COA,CONTINENTAL AIRLINES,B-737-800,KCLE,CLEVELAND-HOPKINS INTL ARPT,OH,APPROACH,NIGHT,50.0,110.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,12,AAL,AMERICAN AIRLINES,MD-82,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,CLIMB,DAY,50.0,150.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
